"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"ARL14",2,137,120,115,3,3,3,1,21,183
"B3GALNT1",1302,879,1434,241,703,712,550,525,562,1508
"LOC101243545",0,0,0,2,0,4,4,0,0,0
"SLITRK3",0,0,0,0,0,0,0,0,0,0
"SERPINI2",233,574,691,919,18,187,1707,23,629,794
"PDCD10",3895,3941,4540,4242,4474,3559,3077,4719,4076,4215
"MIR551B",1,0,0,2,1,4,0,1,3,6
"LOC100507661",147,52,205,15,88,175,167,105,49,142
"LRRC34",52,71,24,9,112,29,61,32,110,110
"MYNN",4085,1376,2544,3973,2776,4349,3078,3213,2669,1751
"LRRC31",0,1,5,0,0,0,0,0,1,1
"LRRIQ4",0,0,0,0,0,0,0,0,0,0
"TERC",42,33,85,41,49,13,86,33,21,46
"ACTRT3",54,37,104,93,166,22,4,24,35,114
"SAMD7",0,0,0,0,0,0,0,0,0,0
"LOC100128164",25,32,26,15,65,34,416,10,426,38
"SEC62",11394,11765,10508,9628,10983,12446,10947,11682,12517,11334
"GPR160",286,1355,501,1320,426,537,536,335,380,687
"SKIL",8918,8287,6370,8696,11548,10421,5543,14081,7809,11002
"CLDN11",947,809,1014,201,845,432,829,609,799,453
"MIR6828",1,1,2,1,1,0,3,0,2,0
"EIF5A2",659,461,1041,871,1090,820,204,509,971,417
"RPL22L1",496,1131,697,1261,479,894,1215,560,844,1215
"SLC2A2",189,936,29,25,174,455,12,107,25,6
"MIR569",0,0,0,0,0,0,0,0,0,0
"TMEM212-AS1",0,0,0,0,0,0,0,0,0,0
"GHSR",948,96,552,558,598,589,394,791,137,83
"NLGN1-AS1",42,0,0,0,0,0,28,0,9,8
"NAALADL2-AS3",0,0,0,0,0,0,0,0,0,0
"MIR4789",0,0,0,0,0,0,0,0,0,0
"MIR548AY",0,0,0,0,0,0,0,0,0,0
"NAALADL2-AS1",0,0,2,2,2,0,0,0,0,0
"LINC01208",0,0,2,4,0,2,3,3,80,0
"LINC01209",0,0,0,0,0,0,0,0,0,0
"LINC00501",0,0,0,0,2,0,0,0,0,0
"LINC01014",392,265,127,84,384,169,227,211,252,118
"KCNMB3",101,134,115,82,221,161,314,22,184,106
"GNB4",262,113,623,40,303,421,174,161,478,271
"MFN1",521,1612,1062,350,1143,1205,576,498,1245,720
"ACTL6A",3212,4246,2762,2824,4901,3552,3220,2369,4242,3479
"NDUFB5",5682,5488,6872,3824,5309,5645,3568,6614,5474,6710
"LOC101928790",0,0,0,0,0,0,1,0,0,0
"TTC14",1256,1954,1356,2163,2385,1091,1006,1716,1541,1389
"DNAJC19",1719,1779,2009,1612,1764,2145,1375,1752,1796,1727
"FXR1",1743,1581,1861,988,2310,1330,1552,1297,1491,1544
"SOX2",0,0,0,0,0,0,0,0,0,0
"LINC01206",0,0,0,0,0,0,0,0,0,0
"DCUN1D1",728,868,1038,983,922,1031,772,1320,620,1147
"MCCC1",3443,2613,3663,4944,1898,5378,4700,3750,3888,2289
"LINC00888",358,826,902,661,865,458,951,653,245,881
"KLHL6-AS1",0,0,0,0,0,0,0,0,0,0
"PARL",3861,3590,2935,5332,4909,4654,4118,6266,3254,5906
"MAP6D1",57,6,105,35,78,57,14,57,108,367
"HTR3D",0,0,0,0,0,0,0,0,0,0
"ABCC5",2861,1741,1927,3385,2117,4601,2920,3850,2568,1749
"ABCC5-AS1",0,38,0,0,0,32,0,0,38,1
"HTR3C",0,0,0,0,0,0,0,0,0,0
"HTR3E",0,0,0,0,0,0,0,0,0,0
"DVL3",1250,2073,2776,1463,1593,1813,1930,1284,2110,1721
"EIF2B5",2559,1855,2361,2052,2791,3341,1939,3363,3619,3480
"CAMK2N2",71,184,232,146,120,184,147,227,104,261
"ALG3",4588,5441,4256,4337,3782,2864,3023,2683,3825,5104
"ECE2",1770,983,912,1946,605,2296,1654,1862,1205,1043
"VWA5B2",1724,2811,3626,873,2285,2108,2721,2043,2501,2929
"ABCF3",3107,3536,3012,2115,3410,4211,2400,2103,3378,3513
"MIR1224",8,25,14,3,13,5,6,2,23,11
"EIF4G1",7834,6313,6530,9250,6401,10465,9714,8800,9963,11365
"CHRD",57,56,112,81,112,170,84,69,225,205
"FAM131A",459,223,940,298,394,532,477,358,1224,395
"SNORD66",0,0,0,0,0,0,0,0,0,0
"THPO",0,0,0,0,0,0,0,0,0,4
"CLCN2",6,154,349,125,82,116,300,159,216,340
"POLR2H",2176,3438,2459,4308,2295,2575,1715,3040,2820,4049
"MAGEF1",1357,2267,2607,1595,1750,1453,2065,1791,1428,2876
"LOC101928992",0,1,0,0,0,0,0,0,0,1
"EHHADH-AS1",0,0,0,0,0,0,0,0,0,0
"MIR5588",0,0,0,0,0,0,0,0,0,0
"TMEM41A",2089,1721,2462,1935,2204,3492,1457,1488,2195,3215
"LIPH",260,826,1153,899,607,357,510,232,665,1133
"C3orf65",0,0,0,0,0,0,0,0,0,0
"TRA2B",3520,5366,4516,2828,3026,3480,4214,3513,3789,3111
"LOC344887",62,69,27,40,56,15,4,11,10,30
"ETV5",1008,598,993,315,532,295,632,391,612,520
"LOC253573",0,0,0,0,0,0,0,0,0,0
"AHSG",0,0,6,0,0,0,0,0,6,0
"DNAJB11",7048,5101,6311,5279,4883,5775,2810,5063,6400,7052
"TBCCD1",1060,645,1500,407,1056,350,448,615,1032,936
"CRYGS",1,130,186,0,84,129,58,1,6,56
"FETUB",0,0,0,0,0,0,0,0,0,0
"EIF4A2",20562,16866,16931,15749,19995,18705,17007,21479,16067,18758
"SNORA81",0,0,0,2,1,0,0,0,0,0
"KNG1",6,10,11,0,8,8,11,20,8,49
"MIR1248",0,0,0,0,0,0,0,0,0,0
"SNORD2",4,4,4,3,3,1,9,2,6,6
"SNORA4",6,12,12,13,9,4,5,20,38,20
"SNORA63",10,3,6,5,3,5,2,14,2,20
"ADIPOQ",0,0,0,0,0,0,0,0,0,0
"ADIPOQ-AS1",0,0,0,0,0,0,0,0,0,0
"RPL39L",255,72,55,20,267,57,45,18,71,145
"MASP1",5,0,166,179,146,33,0,8,51,49
"RTP1",0,0,3,0,1,0,0,0,0,0
"LOC101929106",0,0,0,0,0,0,0,0,2,0
"RTP4",224,402,862,786,966,831,207,314,528,522
"SST",2057960,3303465,2027809,1601009,2936782,1857734,1889716,2265212,2218117,290884
"RTP2",0,0,0,0,0,0,0,0,0,0
"BCL6",856,1933,2780,1725,2809,2152,2330,1524,2394,4244
"FLJ42393",199,20,229,28,2,136,99,4,18,18
"LPP-AS2",116,58,64,19,40,59,270,70,63,140
"LPP-AS1",0,0,1,0,0,0,0,1,0,4
"TPRG1-AS1",0,0,0,0,0,0,0,16,2,0
"TPRG1-AS2",0,0,0,0,0,0,0,0,0,0
"MIR944",0,0,0,0,0,0,0,0,0,0
"CLDN1",383,8558,6468,7614,5767,5559,3801,385,3882,7782
"TMEM207",0,0,0,0,0,0,0,0,0,0
"CLDN16",0,32,14,2,0,0,0,2,13,6
"SNAR-I",3,5,1,0,4,9,3,2,5,0
"OSTN",0,0,0,0,0,0,1,0,1,0
"UTS2B",0,0,0,0,0,0,0,0,0,0
"PYDC2",0,0,0,0,0,0,0,0,0,0
"FGF12-AS1",0,0,0,0,5,0,0,0,0,0
"HRASLS",707,83,303,40,20,33,19,66,174,22
"MGC2889",0,0,0,0,0,0,0,0,0,0
"ATP13A5-AS1",0,0,0,0,0,0,0,0,0,0
"ATP13A4-AS1",1,3,50,43,39,1,1,0,51,29
"OPA1-AS1",1,1,10,4,4,7,4,6,4,9
"LOC647323",0,1,2,0,3,0,0,0,0,0
"DPPA2P3",0,0,0,0,0,0,0,0,0,0
"LRRC15",0,0,0,2,0,0,0,0,0,0
"LINC00887",0,0,0,0,0,0,1,0,0,20
"CPN2",0,0,0,0,0,0,0,0,0,0
"ATP13A3",1106,1201,2763,1480,2055,1923,1280,1558,1147,2314
"LINC00884",272,187,133,281,39,222,138,135,129,146
"TMEM44",122,88,235,228,213,80,162,123,310,264
"TMEM44-AS1",507,554,387,237,344,765,380,978,238,448
"LOC100507391",0,0,0,0,2,0,0,0,0,0
"FAM43A",3028,179,1313,2369,2916,913,458,3814,1013,3342
"XXYLT1-AS1",0,0,0,0,0,0,0,0,0,0
"XXYLT1-AS2",20,0,2,10,14,0,2,30,0,2
"MIR5692C1",0,0,0,0,0,0,0,0,0,0
"PPP1R2",2840,2973,2773,3166,1840,3417,2473,3339,1770,2685
"SDHAP2",16,40,48,26,23,25,56,18,48,55
"MIR570",9,1,7,7,17,12,7,12,10,31
"MUC4",3,25,16,18,45,14,0,0,1,52
"MUC20",619,5395,3778,5938,4551,6972,586,243,3437,6625
"TNK2",316,274,850,412,739,377,285,333,401,559
"MIR6829",0,0,0,0,0,0,0,0,0,0
"TFRC",4630,5977,5989,2773,4303,4102,3927,4479,4540,5303
"ZDHHC19",0,0,0,0,0,0,0,0,0,0
"LINC00885",0,0,0,4,0,0,0,0,4,0
"TM4SF19",0,0,0,0,0,0,0,0,0,0
"TCTEX1D2",1395,1105,1306,454,901,620,597,522,616,965
"TM4SF19-TCTEX1D2",0,0,1,0,0,0,1,0,0,0
"PCYT1A",327,464,599,377,480,213,364,229,491,484
"TM4SF19-AS1",5,1,9,1,8,0,2,32,1,32
"FBXO45",822,785,578,209,732,310,563,496,268,564
"WDR53",921,891,840,745,238,1241,160,428,681,471
"C3orf43",0,0,0,0,0,0,0,0,0,0
"PIGX",883,1268,1215,738,1166,816,1172,810,1079,1314
"NRROS",6,3,43,56,23,0,0,32,0,6
"CEP19",197,337,206,179,151,257,21,236,89,68
"NCBP2",3168,7129,3300,10001,4748,5473,3673,8334,5161,8512
"MFI2-AS1",13,35,11,6,7,28,25,14,5,25
"NCBP2-AS2",4720,2623,3333,4296,2705,6636,3986,4238,4136,3616
"PIGZ",754,356,324,88,332,344,659,407,343,494
"DLG1-AS1",7,5,9,6,2,7,5,16,2,7
"MIR4797",0,0,0,0,0,0,0,0,0,0
"LOC220729",140,387,268,223,328,195,333,407,503,660
"FYTTD1",5176,4431,7506,5672,3954,7776,4163,4858,4547,4032
"KIAA0226",1374,1491,1620,1224,1528,1978,803,1056,1833,2509
"MIR922",0,0,0,0,0,0,0,0,0,0
"LMLN",1082,204,65,63,136,209,159,49,87,364
"RPL35A",11866,14159,13672,14690,10418,15197,13738,13347,14019,16339
"LMLN-AS1",0,0,0,2,0,0,1,0,2,0
"FAM157A",0,5,1,1,0,0,4,0,0,3
"LDB2",1617,132,420,978,1195,686,229,955,881,1630
"ACOX3",549,451,831,859,665,907,341,315,791,342
"TMEM33",9355,8567,7849,8502,7585,8817,4338,9807,7884,8513
"SEPSECS-AS1",136,271,19,160,663,272,818,57,678,272
"CCSER1",189,499,578,72,101,62,136,82,259,607
"LEF1",422,747,426,211,292,217,57,225,27,194
"LIN54",562,538,953,328,674,486,1000,828,772,876
"SPOCK3",609,375,641,10,221,616,199,538,1021,576
"IL15",37,82,133,82,56,121,53,5,66,124
"WFS1",12798,8816,8385,4231,10005,11725,10932,9870,11544,7757
"POLN",329,576,349,144,157,234,32,143,58,96
"STK32B",243,82,482,89,405,74,159,169,106,382
"SORCS2",5,5,7,4,0,2,3,0,0,5
"OTOP1",0,0,0,0,0,0,0,0,0,0
"HTT",1237,1930,1464,1903,1601,1068,1479,1218,1579,2298
"BST1",1,174,29,16,2,0,2,1,3,2
"KCNIP4",3,21,79,18,17,23,18,1,19,8
"NCAPG",4,1,4,4,11,9,26,6,5,12
"APBB2",1141,2222,1267,978,1028,638,652,1430,1391,1252
"PDS5A",2358,2008,2520,1569,2071,1808,2203,2507,3377,3009
"TEC",734,7,136,43,42,311,46,205,207,55
"GABRB1",248,0,0,0,1,0,5,0,5,0
"GRXCR1",0,0,0,0,0,0,6,6,0,0
"KIT",1648,2702,326,3818,1954,156,927,3751,1906,3287
"USP46",255,1134,606,1041,535,378,373,414,698,801
"LPHN3",0,0,1,1,0,0,0,0,0,0
"SLC4A4",592,4209,6561,3959,4796,2359,1310,722,3309,5972
"ADAMTS3",0,0,1,8,2,0,1,0,8,1
"RASSF6",763,1791,1157,1982,1480,960,793,958,981,1367
"MUC7",0,0,0,0,0,0,0,0,0,0
"YTHDC1",2123,2375,2745,1814,2626,2258,2041,2831,2214,2148
"C4orf22",0,0,0,0,0,0,0,0,0,0
"CNOT6L",873,634,719,715,836,661,729,969,883,1182
"SHROOM3",414,2039,1343,1309,1453,1533,1161,481,1337,1868
"CDKL2",47,551,1031,453,255,599,14,372,419,909
"MAPK10",1850,1846,1775,560,1169,1006,1226,1337,1123,690
"GPRIN3",509,503,818,275,96,363,275,691,451,359
"ABCG2",241,121,476,31,114,225,556,122,146,83
"PDLIM5",3808,3821,4965,3808,5152,4621,2808,4080,4766,5061
"GRID2",0,0,0,0,0,0,0,0,0,0
"UNC5C",44,54,59,1,58,30,30,0,1,14
"STPG2",16,7,0,0,0,0,0,4,4,21
"SLC9B1",520,228,126,122,99,137,226,126,127,171
"CISD2",2870,2979,3020,2414,2590,3222,1762,2592,2983,3230
"BANK1",672,1,745,232,176,395,312,357,216,114
"ANK2",309,697,718,240,312,403,412,256,954,299
"ALPK1",32,170,111,424,175,40,274,40,123,212
"COL25A1",4,4,7,0,0,0,0,0,4,4
"PRDM5",195,115,170,26,208,39,216,83,83,113
"TMEM155",0,0,0,0,0,0,0,0,0,0
"LINC01091",98,233,146,155,96,144,124,114,173,118
"LOC729218",65,88,48,52,24,40,112,20,60,201
"C4orf33",322,1328,964,507,333,1049,736,836,873,530
"TBC1D9",1046,576,1231,710,722,545,443,626,693,593
"TTC29",0,0,0,0,0,0,0,0,0,0
"INPP4B",110,1637,928,974,738,398,795,89,712,951
"ARHGAP10",2492,305,795,2643,1027,2842,2405,2744,1278,1056
"ZNF827",532,601,575,527,114,344,470,309,479,361
"SH3D19",501,198,717,695,193,862,394,219,875,690
"TRIM2",2144,1509,2258,1326,1825,2059,1730,1908,1634,1442
"DCHS2",99,347,19,245,95,318,266,112,465,45
"MARCH1",203,431,59,16,163,14,64,423,7,90
"FSTL5",1035,1195,686,146,624,1216,524,730,1176,422
"MFAP3L",9,161,57,73,219,22,115,71,102,163
"LOC100506122",0,0,0,0,0,0,0,0,0,0
"GALNTL6",0,1,14,0,0,0,0,0,0,120
"NEIL3",0,0,63,0,0,0,3,0,0,0
"TENM3",1045,1415,1790,925,976,1503,928,968,1236,1236
"SORBS2",3825,7339,5374,6108,5275,6552,4979,3479,4477,8245
"PRIMPOL",103,470,570,191,280,177,384,197,575,326
"PDE6B",1010,580,656,151,903,617,492,564,365,996
"CPLX1",264,234,265,103,393,311,249,292,393,309
"PIGG",1016,1387,1019,1101,2075,901,1841,1056,2282,1502
"GAK",5388,3465,3266,6418,2375,5305,5905,6544,4589,2960
"ZNF718",134,276,278,613,423,421,517,382,129,394
"WHSC1",1639,1231,1400,566,2210,973,2850,723,2534,1024
"LETM1",2726,2113,1679,2581,1313,2839,2329,3065,2262,1744
"SLBP",2569,3371,2836,2119,2527,3335,1928,2128,3510,3605
"SPON2",6572,6232,11797,797,7376,3046,13560,4783,11862,6663
"MAEA",1981,4007,2620,3432,2032,2396,1942,2432,2967,3378
"ADD1",4136,3478,3542,2842,4263,5262,3786,3099,4455,4449
"GRK4",78,45,118,61,83,180,313,64,242,119
"RNF4",2484,2442,2870,3183,1426,4362,3225,3259,2562,3658
"ZFYVE28",668,1147,370,461,1295,724,1333,440,1390,817
"TNIP2",1810,932,1618,2415,1594,2528,1922,2492,1385,1281
"RGS12",222,104,951,506,523,332,457,458,418,1602
"STX18",2353,1179,2151,2684,1651,3194,2074,2000,1591,1947
"STX18-AS1",42,14,125,32,15,5,63,12,128,175
"EVC",49,155,129,40,105,23,142,30,132,17
"EVC2",48,50,173,70,75,68,86,9,0,17
"JAKMIP1",1019,837,911,196,375,622,531,608,466,719
"KIAA0232",539,1269,1583,694,1502,1289,783,1180,625,1788
"TBC1D14",153,84,743,231,190,330,190,240,263,711
"PPP2R2C",579,503,336,185,41,235,649,190,228,827
"ABLIM2",971,596,1176,294,650,479,393,328,709,475
"AFAP1",772,648,804,932,404,1387,345,308,1282,1365
"WDR1",7324,7338,9151,10810,6165,7141,6103,6904,7914,10679
"SLC2A9",5,56,119,102,302,9,24,7,45,372
"CLNK",0,0,0,0,0,0,11,0,0,0
"HS3ST1",1686,1622,543,4830,1704,797,955,2631,1524,2682
"LINC01182",0,0,19,0,0,19,4,0,0,0
"CPEB2-AS1",0,0,2,2,0,0,0,0,0,0
"CC2D2A",314,1080,389,426,651,1079,485,938,443,1239
"PROM1",35,1013,1326,1233,833,1027,136,112,680,2080
"TAPT1-AS1",812,1018,1273,1048,883,1009,1374,697,1120,1529
"FAM184B",15,357,158,104,44,125,143,132,67,171
"LCORL",1813,1295,1268,1414,2273,1562,1932,2209,1742,1301
"PACRGL",670,835,784,625,621,636,681,938,542,463
"SLIT2",1412,2130,941,629,1194,1454,1094,762,1374,1312
"GBA3",0,9,7,3,6,0,0,0,0,36
"GPR125",903,1596,648,728,684,736,745,1115,462,1579
"PPARGC1A",38,291,551,400,399,56,205,6,271,291
"MIR548AJ2",0,0,0,0,0,0,0,0,0,0
"CCDC149",419,863,442,255,499,374,494,94,282,678
"SEL1L3",2674,3677,2591,4879,1417,3832,3779,2879,2801,4904
"RBPJ",7348,3594,3280,8706,3880,8459,7306,8710,5130,3690
"STIM2",1456,428,1358,461,725,926,722,961,381,1173
"TBC1D19",663,990,747,598,817,732,1122,792,650,1086
"PCDH7",7,233,266,109,275,291,131,199,414,12
"ARAP2",1075,403,883,164,337,432,326,135,258,558
"DTHD1",0,0,0,0,0,0,0,0,0,0
"NWD2",23,24,0,0,23,47,12,23,0,0
"RELL1",8772,6563,7688,5639,7733,5453,1836,11040,7998,8908
"C4orf19",1386,2083,1349,2115,2098,2703,2362,1395,2279,2260
"TBC1D1",1517,542,1263,1065,2817,1117,1212,2283,1609,2171
"KLF3-AS1",59,64,17,33,61,16,5,6,57,0
"KLF3",1372,2020,1918,1530,2117,1356,1448,1052,1546,1936
"RFC1",2263,1510,2816,1420,2029,2951,2507,2887,3203,3472
"FAM114A1",3169,4125,3277,2525,3463,2648,2901,2277,4046,3358
"UBE2K",3517,3506,3229,6173,4181,4932,3588,4194,5005,4484
"UGDH-AS1",169,128,147,72,215,223,216,81,241,128
"KLB",767,285,200,50,14,164,635,217,424,101
"SMIM14",4869,6428,5540,4149,7819,7267,5580,5406,5264,6500
"WDR19",635,2106,1365,831,801,1170,450,770,838,981
"MIR1273H",0,0,0,0,0,0,1,0,0,4
"KLHL5",1945,1181,2840,1044,2262,856,554,1579,2002,2422
"RHOH",79,345,9,131,525,446,285,1185,61,1212
"N4BP2",273,246,328,366,415,522,588,1089,255,709
"RBM47",3623,4788,3038,2938,2642,3100,2619,2255,3909,5136
"NSUN7",104,388,516,494,216,568,499,58,324,410
"LIMCH1",6076,4624,5256,2413,4472,4208,5161,2656,5354,3796
"SLC30A9",9362,4519,6232,10265,3372,12744,8865,11350,7619,7186
"ATP8A1",1032,420,1089,485,552,1219,592,989,580,1003
"KCTD8",102,241,148,183,569,301,597,191,913,226
"GUF1",214,1792,1079,628,419,1020,553,850,1449,1048
"GABRA4",0,0,0,0,2,0,0,0,0,0
"GABRA2",0,2,0,5,0,0,78,1,2,0
"COX7B2",0,0,0,0,0,0,0,0,0,0
"CNGA1",44,299,522,295,586,552,141,37,87,216
"CORIN",254,500,403,236,265,328,992,217,327,247
"TXK",137,1,17,11,10,26,4,69,16,165
"ATP10D",573,368,557,157,602,781,725,167,252,576
"FRYL",3045,1119,1454,1642,975,3216,1799,3285,742,1006
"OCIAD2",5852,9490,6331,7624,8030,8240,4229,6803,8343,11295
"CWH43",0,0,0,0,0,0,0,0,0,0
"SLAIN2",2031,1931,1530,2495,1586,2427,1662,2576,1890,2144
"SPATA18",342,56,184,362,7,669,72,170,455,204
"FIP1L1",3233,1931,2179,3592,2784,3308,3612,3420,3977,1969
"LNX1",1325,1256,1217,729,828,247,431,651,925,1016
"SCFD2",343,481,573,632,387,298,720,492,424,1373
"CHIC2",1524,1077,1429,1171,1499,1506,897,1318,1114,1312
"CLOCK",1728,2440,2235,898,1999,2388,1222,2540,1242,2206
"SRD5A3",1943,1246,1824,1236,1515,1658,1122,1278,992,2577
"KDR",5820,1189,5497,7261,7550,3734,231,5332,3899,9786
"NMU",0,2,0,0,0,0,0,0,0,15
"PPAT",725,413,889,387,645,1432,525,629,925,839
"HOPX",2705,1239,2319,723,2332,2030,1057,2778,1170,2397
"CEP135",385,347,474,203,36,678,94,235,451,266
"EXOC1",1752,3077,2290,1097,1257,1488,1489,1771,2273,2145
"THEGL",0,11,0,0,0,0,0,0,0,82
"KIAA1211",39,19,143,63,39,11,4,258,15,9
"IGFBP7",31677,17433,39595,32650,37517,28049,28971,30341,42657,42033
"IGFBP7-AS1",652,305,728,757,861,560,566,631,890,898
"LOC401134",0,0,0,0,0,0,0,0,0,0
"TECRL",0,0,0,0,0,0,0,0,0,0
"EPHA5",359,57,799,2,74,58,1,71,1,423
"TMPRSS11A",1,17,9,0,6,4,6,1,1,2
"TMPRSS11BNL",0,0,0,0,0,0,0,0,0,0
"TMPRSS11F",0,0,0,0,0,0,0,0,0,0
"UBA6",2285,4362,3373,2325,4303,3437,3655,2926,5551,3015
"FTLP10",0,0,0,0,0,0,0,0,0,0
"TMPRSS11E",0,0,0,0,0,0,0,0,0,0
"UGT2A1",0,0,0,0,0,0,0,0,0,0
"MOB1B",2690,2910,3166,971,2607,2833,1852,2244,1914,2751
"GRSF1",10169,7080,7673,7405,6546,10212,8612,11298,7565,6486
"GC",32967,21656,26083,7443,25147,27334,32102,22549,34680,26999
"NPFFR2",126,0,305,36,1,5,240,4,0,91
"ANKRD17",2102,4414,4391,2765,2653,3455,1804,2194,2628,3482
"AFP",0,0,0,1,2,0,0,0,1,0
"COX18",80,157,186,542,154,149,73,387,96,484
"MTHFD2L",139,207,328,103,105,112,381,731,358,495
"EREG",1,0,0,0,0,0,0,0,0,0
"RCHY1",2117,2328,3280,1150,1940,2988,1995,1323,3114,1610
"PARM1",11213,8748,11556,5133,5512,10848,8909,8041,10092,12570
"LOC441025",0,0,0,0,0,0,0,0,0,0
"LOC100507388",1,1,0,2,1,0,0,0,0,0
"ART3",0,0,0,0,0,0,0,0,0,0
"PPEF2",0,15,0,0,0,0,0,0,0,0
"USO1",5177,4827,4530,3966,6122,3997,3861,3658,4894,4774
"FAM47E-STBD1",0,0,0,0,0,0,0,0,0,0
"FAM47E",613,769,588,350,1312,1032,914,975,1202,601
"CXCL13",0,0,0,0,0,0,0,0,0,0
"CCNI",6725,10194,12367,8523,8468,7581,8815,8313,9567,12650
"FRAS1",770,1291,604,533,519,403,434,376,267,613
"BMP2K",354,171,176,148,627,275,97,89,319,414
"LINC01088",0,0,0,0,2,0,0,0,0,0
"LINC00989",0,0,0,0,0,0,0,0,0,0
"ANTXR2",898,1436,515,3714,1445,287,541,1528,1242,1652
"PRKG2",144,392,30,11,143,0,38,0,1,30
"SEC31A",13376,13548,13441,10475,12967,14624,11319,14538,12642,13953
"SCD5",3350,3513,4087,3249,4147,4569,1370,2584,2251,3966
"ENOPH1",3304,3610,3585,2150,2499,2955,2551,3830,2528,3583
"PLAC8",767,633,977,519,1145,785,735,600,836,576
"WDFY3",1558,1396,1634,987,918,1492,693,1151,972,1300
"ARHGAP24",1037,426,1682,368,759,1967,811,379,1221,1037
"AFF1",1523,2382,1534,1906,3046,2126,2973,1924,2843,2473
"PTPN13",787,781,834,268,1117,1046,663,501,524,2183
"PKD2",1185,1358,1723,631,1077,1049,909,1458,1098,1932
"FAM13A",311,560,861,1806,1083,720,795,300,870,1444
"HERC3",1078,747,1293,830,1114,989,1596,915,873,1097
"HERC5",556,898,1344,392,396,414,1168,528,451,859
"SNCA",1431,1391,777,406,1445,1055,2059,955,1493,659
"MMRN1",785,622,1056,398,509,719,1534,563,232,1422
"SMARCAD1",1662,1229,1793,859,1362,865,829,1243,1373,1487
"BMPR1B",103,121,87,295,447,515,188,15,59,103
"STPG2-AS1",0,0,0,0,0,0,0,0,0,0
"RAP1GDS1",3932,6192,4861,2632,2549,3924,1897,4318,3136,3538
"TSPAN5",110,1004,510,160,84,72,113,13,72,118
"ADH6",0,1,1,17,1,3,48,4,21,15
"ADH5",3153,4154,3405,3365,2854,3179,3193,3247,4138,3046
"MTTP",0,1,0,0,0,0,0,0,0,1
"ADH1C",319,13162,4707,5198,8960,6790,7293,165,4186,18037
"LOC100507053",0,2,17,0,274,4,4,1,1,2
"EMCN",922,335,994,1311,911,652,34,1524,713,1038
"PPP3CA",7373,7118,7201,8079,6356,10594,5499,9233,6035,5363
"MANBA",2100,1926,1302,779,1545,2224,1171,2002,1947,2749
"CENPE",0,1,1,0,0,4,7,1,0,4
"TACR3",0,0,0,0,0,0,1,0,0,0
"NPNT",3376,3483,3894,610,2009,2159,1187,960,1453,2689
"PPA2",4727,5800,6041,3491,3623,5937,3582,6081,6278,5671
"ARHGEF38",163,537,455,210,277,691,597,413,110,298
"GSTCD",343,422,527,648,462,206,312,441,363,296
"TET2",272,1062,1824,1019,1468,1013,1268,1132,1231,1647
"TBCK",1086,1207,446,781,1758,873,777,1079,902,1114
"DKK2",0,0,0,0,0,0,0,0,0,0
"HADH",12914,9094,12013,11090,17917,13218,10772,17578,10537,12333
"SGMS2",262,668,393,595,1208,958,325,570,397,357
"OSTC",6095,7183,5618,5429,5471,7764,4911,5804,6400,6379
"EGF",42,313,191,145,18,203,289,34,172,350
"ELOVL6",302,406,775,325,618,576,253,533,593,382
"SEC24B",5000,2271,3992,4059,2759,4830,3451,4805,3764,3454
"CCDC109B",1031,460,802,564,964,1067,338,1685,869,1220
"RRH",0,0,8,0,0,0,0,0,0,1
"ENPEP",418,1413,1245,532,1570,870,225,395,315,278
"PITX2",0,0,0,0,0,0,0,0,0,0
"ZGRF1",138,28,29,186,147,517,38,545,403,472
"CAMK2D",3081,3840,3317,2761,3129,2668,4000,2386,2816,2884
"NDST4",0,0,0,0,0,0,0,0,0,0
"NDST3",1,3,11,0,1,0,1,4,1,0
"PDE5A",426,455,1313,1064,761,726,207,747,354,1238
"SYNPO2",227,766,699,190,127,252,91,737,104,270
"MYOZ2",0,0,0,0,0,3,0,3,0,0
"USP53",430,430,1060,645,264,683,862,519,839,1127
"SEC24D",4409,5750,4644,4139,4738,5431,4952,5231,3628,3983
"QRFPR",0,0,0,0,0,0,0,0,0,0
"KIAA1109",2443,1976,2663,2213,2234,3914,2063,3187,2086,2448
"TRPC3",0,0,0,0,0,0,10,0,0,0
"ADAD1",0,0,0,0,0,0,0,0,0,0
"IL21-AS1",0,0,0,0,0,0,0,0,0,0
"SPATA5",161,114,49,21,102,187,63,7,69,140
"LOC101927087",0,2,13,2,0,0,0,0,0,0
"FAT4",510,28,460,28,17,23,25,281,419,476
"HSPA4L",1223,923,1025,525,825,589,207,1010,504,396
"INTU",148,313,182,355,222,422,137,27,59,48
"MFSD8",1078,533,864,299,1282,920,1461,958,537,1067
"JADE1",2138,2594,2090,829,1875,2078,2178,1118,2037,1795
"LARP1B",2081,1203,999,975,1545,2227,1599,2001,905,1329
"SCLT1",233,189,621,703,634,467,169,432,190,337
"LOC101927282",0,0,0,0,0,0,0,0,0,0
"PCDH10",36,192,260,66,238,232,125,32,37,387
"LINC00499",0,0,0,0,0,0,0,0,0,0
"SLC7A11-AS1",43,16,22,9,35,20,37,23,42,7
"ELF2",719,306,451,417,470,1087,247,444,1067,1217
"NAA15",1229,1790,2111,1762,980,2060,1564,1281,1776,1781
"RAB33B",1463,989,927,651,1188,614,920,1460,972,899
